ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60620,39,09/20/2020,09/26/2020,25,1711,37,2512.6,796,21479,1169,31542.2,0.0,0.1,2,78,2.9,114.5,68096,60620-2020-39,POINT (-87.651656 41.740873)
60631,17,04/19/2020,04/25/2020,28,126,95,426.7,221,1042,748,3528.7,0.1,0.1,0,2,0.0,6.8,29529,60631-2020-17,POINT (-87.813371 41.995019)
60606,16,04/12/2020,04/18/2020,6,13,194,419.2,34,130,1096,4192.2,0.4,0.2,0,0,0.0,0.0,3101,60606-2020-16,POINT (-87.63676 41.882634)
60611,32,08/02/2020,08/08/2020,20,306,62,943.7,647,8578,1995,26454.1,0.0,0.0,0,3,0.0,9.3,32426,60611-2020-32,POINT (-87.620291 41.894734)
60646,14,03/29/2020,04/04/2020,16,42,57,150.1,130,295,464,1054.1,0.1,0.1,0,2,0.0,7.1,27987,60646-2020-14,POINT (-87.761826 41.993931)
60639,3,01/17/2021,01/23/2021,220,12727,243,14060.3,2455,80826,2712,89293.7,0.1,0.2,2,207,2.2,228.7,90517,60639-2021-3,POINT (-87.75531 41.920609)
60617,23,05/31/2020,06/06/2020,35,1112,42,1347.3,712,7467,863,9047.2,0.1,0.2,8,60,9.7,72.7,82534,60617-2020-23,POINT (-87.556897 41.721257)
60638,49,11/29/2020,12/05/2020,361,5285,614,8988.6,1884,35391,3204,60191.8,0.2,0.2,5,77,8.5,131.0,58797,60638-2020-49,POINT (-87.771902 41.787032)
60640,39,09/20/2020,09/26/2020,36,1300,52,1864.7,1878,34037,2694,48823.1,0.0,0.0,0,90,0.0,129.1,69715,60640-2020-39,POINT (-87.662232 41.971888)
60634,2,01/10/2021,01/16/2021,247,8403,325,11057.3,2579,70990,3394,93414,0.1,0.1,0,119,0.0,156.6,75995,60634-2021-2,POINT (-87.797373 41.944967)
60605,15,04/05/2020,04/11/2020,13,65,47,236.2,91,345,331,1253.7,0.1,0.1,0,0,0.0,0.0,27519,60605-2020-15,POINT (-87.623449 41.867824)
60618,9,02/28/2021,03/06/2021,67,7477,71,7921,2369,103146,2510,109270.6,0.0,0.1,0,110,0.0,116.5,94395,60618-2021-9,POINT (-87.703343 41.946699)
60644,49,11/29/2020,12/05/2020,145,2766,304,5797.3,1474,32106,3089,67291.2,0.1,0.1,0,102,0.0,213.8,47712,60644-2020-49,POINT (-87.756863 41.881113)
60649,17,04/19/2020,04/25/2020,191,506,415,1099.4,497,1542,1080,3350.4,0.3,0.3,11,50,23.9,108.6,46024,60649-2020-17,POINT (-87.571522 41.762202)
60614,42,10/11/2020,10/17/2020,122,1528,171,2142.8,3014,39137,4227,54884.4,0.0,0.0,0,72,0.0,101.0,71308,60614-2020-42,POINT (-87.652064 41.922605)
60652,3,01/17/2021,01/23/2021,94,4571,214,10410.6,1062,35032,2419,79786.8,0.1,0.1,1,84,2.3,191.3,43907,60652-2021-3,POINT (-87.714238 41.745398)
60651,36,08/30/2020,09/05/2020,59,2405,93,3804.3,991,18819,1568,29768.4,0.1,0.1,1,79,1.6,125.0,63218,60651-2020-36,POINT (-87.741017 41.901964)
60632,31,07/26/2020,08/01/2020,118,3671,130,4032.3,1382,17514,1518,19237.9,0.1,0.2,1,97,1.1,106.5,91039,60632-2020-31,POINT (-87.711251 41.810038)
60605,13,03/28/2021,04/03/2021,56,1833,204,6660.9,1136,40340,4128,146589.6,0.0,0.0,0,11,0.0,40.0,27519,60605-2021-13,POINT (-87.623449 41.867824)
60661,48,11/22/2020,11/28/2020,22,465,222,4684.7,460,7686,4634,77433,0.0,0.1,0,1,0.0,10.1,9926,60661-2020-48,POINT (-87.644283 41.882786)
60603,5,01/31/2021,02/06/2021,4,63,341,5366.3,83,1538,7070,131005.1,0.0,0.0,0,0,0.0,0.0,1174,60603-2021-5,POINT (-87.625473 41.880112)
60615,33,08/09/2020,08/15/2020,17,553,41,1330.5,751,10466,1807,25181.1,0.0,0.1,0,16,0.0,38.5,41563,60615-2020-33,POINT (-87.602725 41.801993)
60609,24,06/07/2020,06/13/2020,46,1788,75,2907.6,643,6971,1046,11335.9,0.1,0.3,2,65,3.3,105.7,61495,60609-2020-24,POINT (-87.653382 41.812017)
